t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper
1.279999,0.25,0,0.08287922,0,0,-0.999801,0,0,0,0,-0.8,0
1.3,0.25,0,0.0628832,0,0,-0.999801,0,0,0,0,-0.8,0
1.32,0.25,0,0.04288718,0,0,-0.999801,0,0,0,0,-0.8,0
1.34,0.25,0,0.02289117,0,0,-0.999801,0,0,0,0,-0.8,0
1.36,0.25,0,0.002895158,0,0,-0.999801,0,0,0,0,-0.8,0
1.38,0.25,0,-0.01710086,0,0,-0.999801,0,0,0,0,-0.8,0
1.399999,0.25,0,-0.03709687,0,0,-0.999801,0,0,0,0,-0.8,0
1.419999,0.25,0,-0.05709288,0,0,-0.999801,0,0,0,0,-0.8,0
1.439999,0.25,0,-0.07708889,0,0,-0.999801,0,0,0,0,-0.8,0
1.459999,0.25,0,-0.09708491,0,0,-0.999801,0,0,0,0,-0.8,0
1.479999,0.25,0,-0.1170809,0,0,-0.999801,0,0,0,0,-0.8,0
1.5,0.25,0,-0.1370769,0,0,-0.999801,0,0,0,0,-0.8,0
1.52,0.25,0,-0.157073,0,0,-0.999801,0,0,0,0,-0.8,0
1.539999,0.25,0,-0.177069,0,0,-0.999801,0,0,0,0,-0.8,0
1.559999,0.25,0,-0.197065,0,0,-0.999801,0,0,0,0,-0.8,0
1.579999,0.25,0,-0.217061,0,0,-0.999801,0,0,0,0,-0.8,0
1.599999,0.25,0,-0.237057,0,0,-0.999801,0,0,0,0,-0.8,0
1.619999,0.25,0,-0.257053,0,0,-0.999801,0,0,0,0,-0.8,0
1.639999,0.25,0,-0.2770491,0,0,-0.999801,0,0,0,0,-0.8,0
1.659999,0.25,0,-0.2970451,0,0,-0.999801,0,0,0,0,-0.8,0
1.679999,0.25,0,-0.3170411,0,0,-0.999801,0,0,0,0,-0.8,0
1.699999,0.25,0,-0.3370371,0,0,-0.999801,0,0,0,0,-0.8,0
1.719999,0.25,0,-0.3570331,0,0,-0.999801,0,0,0,0,-0.8,0
1.739999,0.25,0,-0.3770292,0,0,-0.999801,0,0,0,0,-0.8,0
1.759999,0.25,0,-0.3970252,0,0,-0.999801,0,0,0,0,-0.8,0
1.779999,0.25,0,-0.4170212,0,0,-0.999801,0,0,0,0,-0.8,0
1.799999,0.25,0,-0.4370172,0,0,-0.999801,0,0,0,0,-0.8,0
1.819999,0.25,0,-0.4570132,0,0,-0.999801,0,0,0,0,-0.8,0
1.839999,0.25,0,-0.4770092,0,0,-0.999801,0,0,0,0,-0.8,0
1.859999,0.25,0,-0.4970053,0,0,-0.999801,0,0,0,0,-0.8,0
1.879999,0.25,0,-0.5170013,0,0,-0.999801,0,0,0,0,-0.8,0
1.899999,0.25,0,-0.5369973,0,0,-0.999801,0,0,0,0,-0.8,0
1.919999,0.25,0,-0.5569932,0,0,-0.999801,0,0,0,0,-0.8,0
1.939999,0.25,0,-0.5769892,0,0,-0.999801,0,0,0,0,-0.8,0
1.959999,0.25,0,-0.5969852,0,0,-0.999801,0,0,0,0,-0.8,0
1.979999,0.25,0,-0.6169812,0,0,-0.999801,0,0,0,0,-0.8,0
1.999999,0.25,0,-0.6228201,0,0,-0.2919475,0,0,0,0,-0.8056628,-0.2831414
2.019999,0.25,0,-0.6291925,0,0,-0.3186384,0,0,0,0,-0.8111123,-0.2724651
2.039999,0.25,0,-0.6358907,0,0,-0.334989,0,0,0,0,-0.8164314,-0.2659248
2.059999,0.25,0,-0.642793,0,0,-0.345226,0,0,0,0,-0.8216689,-0.26183
2.079999,0.25,0,-0.6498271,0,0,-0.3518375,0,0,0,0,-0.8268537,-0.2591854
2.099999,0.25,0,-0.6569504,0,0,-0.3562931,0,0,0,0,-0.8320028,-0.2574032
2.119999,0.25,0,-0.6641375,0,0,-0.3594634,0,0,0,0,-0.8371263,-0.2561351
2.139999,0.25,0,-0.6713734,0,0,-0.3618652,0,0,0,0,-0.8422304,-0.2551743
2.159999,0.25,0,-0.6786489,0,0,-0.3638062,0,0,0,0,-0.8473186,-0.2543979
