t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper
5.219998,0,0,-0.3466467,0,0,-0.6907176,0,0,0,0,-0.8667191,0
5.239998,0,0,-0.360461,0,0,-0.6907176,0,0,0,0,-0.8667191,0
5.259998,0,0,-0.3742754,0,0,-0.6907176,0,0,0,0,-0.8667191,0
5.279998,0,0,-0.3880897,0,0,-0.6907176,0,0,0,0,-0.8667191,0
5.299998,0,0,-0.4019041,0,0,-0.6907176,0,0,0,0,-0.8667191,0
5.319998,0,0,-0.4157185,0,0,-0.6907176,0,0,0,0,-0.8667191,0
5.339998,0,0,-0.4295328,0,0,-0.6907176,0,0,0,0,-0.8667191,0
5.359998,0,0,-0.4433472,0,0,-0.6907176,0,0,0,0,-0.8667191,0
5.379998,0,0,-0.4571615,0,0,-0.6907176,0,0,0,0,-0.8667191,0
5.399998,0,0,-0.4709759,0,0,-0.6907176,0,0,0,0,-0.8667191,0
5.419998,0,0,-0.4847903,0,0,-0.6907176,0,0,0,0,-0.8667191,0
5.439998,0,0,-0.4986046,0,0,-0.6907176,0,0,0,0,-0.8667191,0
5.459998,0,0,-0.512419,0,0,-0.6907176,0,0,0,0,-0.8667191,0
5.479998,0,0,-0.5262333,0,0,-0.6907176,0.009514198,0.1912354,0,0,-0.8667191,0
5.499998,0,0,-0.5398564,0,0,-0.6811559,0.02306084,0.463523,0,0,-0.8667956,0
5.519998,0,0,-0.553016,0,0,-0.6579797,0.03603499,0.7243032,0,0,-0.866981,0
5.539998,0,0,-0.5654513,0,0,-0.6217646,0.04818051,0.9684282,0,0,-0.8672708,-0.01448606
5.559998,0,0,-0.5769181,0,0,-0.5733432,0.05902819,1.186467,0,0,-0.8678899,-0.03095741
5.579998,0,0,-0.5871985,0,0,-0.5140199,0.06833868,1.373607,0,0,-0.8688598,-0.04849525
5.599998,0,0,-0.5961053,0,0,-0.4453396,0.07592009,1.525994,0,0,-0.8701852,-0.06626834
5.619998,0,0,-0.6034861,0,0,-0.3690399,0.08163016,1.640766,0,0,-0.8718559,-0.08353454
5.639998,0,0,-0.6092261,0,0,-0.2870016,0.08537732,1.716084,0,0,-0.8738488,-0.09964295
5.659998,0,0,-0.6132501,0,0,-0.2011974,0.08712058,1.751124,0,0,-0.8761295,-0.114036
5.679998,0,0,-0.6155229,0,0,-0.1136413,0.08686839,1.746055,0,0,-0.8786545,-0.1262513
5.699998,0,0,-0.6160497,0,0,-0.0263386,0.08467673,1.702002,0,0,-0.881373,-0.1359221
5.719998,0,0,-0.6148745,0,0,0.05876148,0.08064596,1.620984,0,0,-0.8842285,-0.1427777
5.739998,0,0,-0.6120782,0,0,0.1398107,0.07491688,1.505829,0,0,-0.8871614,-0.1466419
5.759998,0,0,-0.6077762,0,0,0.2151021,0.06766628,1.360092,0,0,-0.89011,-0.1474301
5.779998,0,0,-0.6021141,0,0,0.2831067,0.05910121,1.187934,0,0,-0.8930129,-0.1451459
5.799998,0,0,-0.595264,0,0,0.3425034,0.04945366,0.9940186,0,0,-0.8958104,-0.1398754
5.819998,0,0,-0.5874199,0,0,0.3922043,0.03897397,0.7833769,0,0,-0.898446,-0.1317807
5.839998,0,0,-0.5787925,0,0,0.4313731,0.02792464,0.5612853,0,0,-0.9008678,-0.1210921
5.859998,0,0,-0.5696037,0,0,0.4594374,0.01657389,0.3331352,0,0,-0.9030298,-0.1080994
5.879998,0,0,-0.5600818,0,0,0.4760941,0.005189165,0.1043022,0,0,-0.9048926,-0.09314223
5.899998,0,0,-0.5504556,0,0,0.4813092,0,0,0,0,-0.9064246,-0.07659984
5.919998,0,0,-0.5408294,0,0,0.4813092,0,0,0,0,-0.9076502,-0.06127987
5.939998,0,0,-0.5312032,0,0,0.4813092,0,0,0,0,-0.9086307,-0.0490239
5.959998,0,0,-0.5215769,0,0,0.4813092,0,0,0,0,-0.9094151,-0.03921913
5.979998,0,0,-0.5119507,0,0,0.4813092,0,0,0,0,-0.9100426,-0.0313753
5.999998,0,0,-0.5023245,0,0,0.4813092,0,0,0,0,-0.9105446,-0.02510025
6.019998,0,0,-0.4926983,0,0,0.4813092,0,0,0,0,-0.9109462,-0.0200802
6.039998,0,0,-0.4830722,0,0,0.4813092,0,0,0,0,-0.9112675,-0.01606416
6.059998,0,0,-0.473446,0,0,0.4813092,0,0,0,0,-0.9115245,-0.01285133
6.079998,0,0,-0.4638198,0,0,0.4813092,0,0,0,0,-0.9117302,-0.01028107
6.099998,0,0,-0.4541936,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.119998,0,0,-0.4445674,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.139998,0,0,-0.4349413,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.159998,0,0,-0.4253151,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.179998,0,0,-0.4156889,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.199998,0,0,-0.4060627,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.219998,0,0,-0.3964365,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.239998,0,0,-0.3868104,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.259998,0,0,-0.3771842,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.279998,0,0,-0.367558,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.299998,0,0,-0.3579318,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.319998,0,0,-0.3483056,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.339998,0,0,-0.3386795,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.359998,0,0,-0.3290533,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.379998,0,0,-0.3194271,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.399998,0,0,-0.3098009,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.419998,0,0,-0.3001747,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.439998,0,0,-0.2905486,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.459998,0,0,-0.2809224,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.479998,0,0,-0.2712962,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.499998,0,0,-0.26167,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.519998,0,0,-0.2520438,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.539998,0,0,-0.2424177,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.559998,0,0,-0.2327915,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.579998,0,0,-0.2231653,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.599998,0,0,-0.2135391,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.619998,0,0,-0.2039129,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.639997,0,0,-0.1942868,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.659997,0,0,-0.1846606,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.679997,0,0,-0.1750344,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.699997,0,0,-0.1654082,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.719997,0,0,-0.155782,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.739997,0,0,-0.1461559,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.759997,0,0,-0.1365297,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.779998,0,0,-0.1269035,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.799998,0,0,-0.1172773,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.819998,0,0,-0.1076511,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.839998,0,0,-0.09802496,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.859998,0,0,-0.08839878,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.879998,0,0,-0.0787726,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.899998,0,0,-0.06914642,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.919998,0,0,-0.05952024,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.939998,0,0,-0.04989406,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.959998,0,0,-0.04026788,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.979998,0,0,-0.0306417,0,0,0.4813092,0,0,0,0,-0.9118947,0
6.999998,0,0,-0.02101552,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.019998,0,0,-0.01138934,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.039998,0,0,-0.001763163,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.059998,0,0,0.007863018,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.079998,0,0,0.0174892,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.099998,0,0,0.02711538,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.119998,0,0,0.03674156,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.139997,0,0,0.04636774,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.159997,0,0,0.05599392,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.179997,0,0,0.0656201,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.199997,0,0,0.07524628,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.219997,0,0,0.08487246,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.239997,0,0,0.09449864,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.259997,0,0,0.1041248,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.279997,0,0,0.113751,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.299997,0,0,0.1233772,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.319997,0,0,0.1330034,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.339997,0,0,0.1426295,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.359997,0,0,0.1522557,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.379997,0,0,0.1618819,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.399997,0,0,0.1715081,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.419997,0,0,0.1811343,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.439997,0,0,0.1907604,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.459997,0,0,0.2003866,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.479997,0,0,0.2100128,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.499997,0,0,0.219639,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.519997,0,0,0.2292652,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.539997,0,0,0.2388913,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.559998,0,0,0.2485175,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.579998,0,0,0.2581437,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.599998,0,0,0.2677699,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.619998,0,0,0.2773961,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.639997,0,0,0.2870223,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.659997,0,0,0.2966484,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.679997,0,0,0.3062746,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.699997,0,0,0.3159008,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.719997,0,0,0.325527,0,0,0.4813092,0,0,0,0,-0.9118947,0
7.739997,0,0,0.3351532,0,0,0.4813092,0,0,0,0,-0.9118947,0
