t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper
1.3,0,0,-0.07999997,0,0,-1,0,0,0,0,-0.8,0
1.32,0,0,-0.09999996,0,0,-1,0,0,0,0,-0.8,0
1.34,0,0,-0.12,0,0,-1,0,0,0,0,-0.8,0
1.36,0,0,-0.14,0,0,-1,0,0,0,0,-0.8,0
1.38,0,0,-0.16,0,0,-1,0,0,0,0,-0.8,0
1.399999,0,0,-0.1799999,0,0,-1,0,0,0,0,-0.8,0
1.419999,0,0,-0.1999999,0,0,-1,0,0,0,0,-0.8,0
1.439999,0,0,-0.2199999,0,0,-1,0,0,0,0,-0.8,0
1.459999,0,0,-0.2399999,0,0,-1,0,0,0,0,-0.8,0
1.479999,0,0,-0.2599999,0,0,-1,0,0,0,0,-0.8,0
1.5,0,0,-0.2799999,0,0,-1,0,0,0,0,-0.8,0
1.52,0,0,-0.2999999,0,0,-1,0,0,0,0,-0.8,0
1.539999,0,0,-0.3199999,0,0,-1,0,0,0,0,-0.8,0
1.559999,0,0,-0.3399999,0,0,-1,0,0,0,0,-0.8,0
1.579999,0,0,-0.3599998,0,0,-1,0,0,0,0,-0.8,0
1.599999,0,0,-0.3799998,0,0,-1,0,0,0,0,-0.8,0
1.619999,0,0,-0.3999998,0,0,-1,0,0,0,0,-0.8,0
1.639999,0,0,-0.4199998,0,0,-1,0,0,0,0,-0.8,0
1.659999,0,0,-0.4399998,0,0,-1,0,0,0,0,-0.8,0
1.679999,0,0,-0.4599997,0,0,-1,0.009999737,0.2009947,0,0,-0.8,0
1.699999,0,0,-0.4797987,0,0,-0.9899502,0.02979873,0.5989545,0,0,-0.8,0
1.719999,0,0,-0.4989988,0,0,-0.9600025,0.04899879,0.9848757,0,0,-0.8,0
1.739999,0,0,-0.5172139,0,0,-0.9107588,0.06721394,1.351,0,0,-0.8,0
1.759999,0,0,-0.5340781,0,0,-0.8432088,0.08407812,1.68997,0,0,-0.8,0
1.779999,0,0,-0.5492523,0,0,-0.7587103,0.09925233,1.994972,0,0,-0.8,0
1.799999,0,0,-0.5624316,0,0,-0.6589618,0.1124316,2.259875,0,0,-0.8,0
1.819999,0,0,-0.5733509,0,0,-0.5459681,0.1233509,2.479353,0,0,-0.8,0
1.839999,0,0,-0.5817909,0,0,-0.4220005,0.1317909,2.648998,0,0,-0.8,0
1.859999,0,0,-0.5875819,0,0,-0.2895507,0.1375819,2.765397,0,0,-0.8,0
1.879999,0,0,-0.5906075,0,0,-0.1512809,0.1406075,2.826211,0,0,-0.8,0
1.899999,0,0,-0.590807,0,0,-0.009970382,0.140807,2.83022,0,0,-0.8,0
1.919999,0,0,-0.5881761,0,0,0.1315406,0.1381761,2.77734,0,0,-0.8,0
1.939999,0,0,-0.582768,0,0,0.2704075,0.132768,2.668636,0,0,-0.8,0
